image_path,GHI,Sky_Condition
D:\Image\20250123_003300.jpg,151.43,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003330.jpg,168.13,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003400.jpg,178.02,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003430.jpg,186.79,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003500.jpg,193.43,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003530.jpg,195.96,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003600.jpg,196.18,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003630.jpg,199.9,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003700.jpg,205.59,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003730.jpg,208.81,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003800.jpg,210.52,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003830.jpg,209.49,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003900.jpg,209.29,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_003930.jpg,211.82,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004000.jpg,214.62,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004030.jpg,213.17,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004100.jpg,207.39,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004130.jpg,201.2,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
D:\Image\20250123_004200.jpg,189.83,"Overcast (Very Low Clear-Sky Index, High Cloud Cover)"
